,product,year,country,total_production,quantity,per_production,amount
184,Espumante,2025,Argentina,7461665,13604.698151427343,0.18233,13604.698151427343
185,Espumante,2025,Aruba,7461665,12626.835355655776,0.16922,12626.835355655776
186,Espumante,2025,Australia,7461665,13775.199908415292,0.18461,13775.199908415292
187,Espumante,2025,Bahamas,7461665,12668.786551479287,0.16978,12668.786551479287
188,Espumante,2025,Bangladesh,7461665,12620.70341735668,0.16914,12620.70341735668
189,Espumante,2025,Barbados,7461665,12693.917385087498,0.17012,12693.917385087498
190,Espumante,2025,Belgica,7461665,13773.418124683994,0.18459,13773.418124683994
191,Espumante,2025,Benin,7461665,12603.901923450267,0.16892,12603.901923450267
192,Espumante,2025,Bermudas,7461665,12612.704809440756,0.16903,12612.704809440756
193,Espumante,2025,Bulgaria,7461665,13773.594496330854,0.18459,13773.594496330854
194,Espumante,2025,Bósnia-Herzegovina,7461665,12716.494847176378,0.17042,12716.494847176378
195,Espumante,2025,Cabo Verde,7461665,12662.374928152842,0.1697,12662.374928152842
196,Espumante,2025,Camarões,7461665,12596.593166383236,0.16882,12596.593166383236
197,Espumante,2025,Canada,7461665,13774.813410888899,0.18461,13774.813410888899
198,Espumante,2025,Catar,7461665,12617.922689309209,0.1691,12617.922689309209
199,Espumante,2025,"Cayman, Ilhas",7461665,12605.832571682688,0.16894,12605.832571682688
200,Espumante,2025,Chile,7461665,12719.96438693491,0.17047,12719.96438693491
201,Espumante,2025,China,7461665,14607.353714636714,0.19577,14607.353714636714
202,Espumante,2025,Chipre,7461665,12644.967429430297,0.16947,12644.967429430297
203,Espumante,2025,Cingapura,7461665,12675.339482603526,0.16987,12675.339482603526
204,Espumante,2025,Colombia,7461665,13775.489115619575,0.18462,13775.489115619575
205,Espumante,2025,"Coreia do Sul, Republica da",7461665,13772.872987183859,0.18458,13772.872987183859
206,Espumante,2025,Costa Rica,7461665,12629.186638367348,0.16925,12629.186638367348
207,Espumante,2025,Cuba,7461665,12830.20564512022,0.17195,12830.20564512022
208,Espumante,2025,Curaçao,7461665,12707.825116564727,0.17031,12707.825116564727
209,Espumante,2025,Dinamarca,7461665,12914.47315999708,0.17308,12914.47315999708
210,Espumante,2025,Djibuti,7461665,13774.660984171307,0.18461,13774.660984171307
211,Espumante,2025,Dominica,7461665,12708.43517212092,0.17032,12708.43517212092
212,Espumante,2025,El Salvador,7461665,12651.151116106674,0.16955,12651.151116106674
213,Espumante,2025,Emirados Arabes Unidos,7461665,12724.473238040868,0.17053,12724.473238040868
214,Espumante,2025,Equador,7461665,12664.157534261216,0.16972,12664.157534261216
215,Espumante,2025,Espanha,7461665,14367.841805215015,0.19256,14367.841805215015
216,Espumante,2025,Estados Unidos,7461665,45398.73957564606,0.60843,45398.73957564606
217,Espumante,2025,Estonia,7461665,13775.30955518289,0.18461,13775.30955518289
218,Espumante,2025,Falkland (Malvinas),7461665,13554.213341167337,0.18165,13554.213341167337
219,Espumante,2025,Filipinas,7461665,12643.28075099332,0.16944,12643.28075099332
220,Espumante,2025,Filânldia,7461665,13775.036601966904,0.18461,13775.036601966904
221,Espumante,2025,França,7461665,12833.732546193874,0.172,12833.732546193874
222,Espumante,2025,Gana,7461665,12709.539581252793,0.17033,12709.539581252793
223,Espumante,2025,Gibraltar,7461665,12623.899583499931,0.16918,12623.899583499931
224,Espumante,2025,Granada,7461665,12710.448187859605,0.17034,12710.448187859605
225,Espumante,2025,Grécia,7461665,12586.158744833054,0.16868,12586.158744833054
226,Espumante,2025,Guatemala,7461665,12648.03236057435,0.16951,12648.03236057435
227,Espumante,2025,Guiana,7461665,12660.709753222147,0.16968,12660.709753222147
228,Espumante,2025,Guiné Equatorial,7461665,13773.917130722717,0.1846,13773.917130722717
